"block","plot","experiment","treatment","effect_year","nr_lov","nr_gran","nr_staende_dodved","nr_tall","nr_all_alive","average_dbh_lov","average_dbh_gran","average_dbh_staende_dodved","average_dbh_tall","average_dbh_all_alive","sd_dbh_all_alive","nr_skarm","laser_median","tspr","perc_gran","perc_lov","perc_tall","perc_skarm","perc_dv","BA_gran","BA_lov","BA_tall","BA_dv","BA"
"sigtuna","plot_202","before","TC",2018,0,39,0,24,63,0,15.6589743589744,0,33.6125,22.4984126984127,11.457670934631,2313.05183960221,13.2,2,0.619047619047619,0,0.380952380952381,3.46031746031746,0,7.96911303418807,0,22.596003125,0,26.5743751322751
"sigtuna","plot_203","before","TC",2018,8,8,0,23,39,18.375,19.1625,0,34.5391304347826,28.0692307692308,13.8935265851281,551.737136051904,20.6,5,0.205128205128205,0.205128205128205,0.58974358974359,1.33333333333333,0,2.448009375,2.2509375,22.8649043478261,0,25.6061557692308
"sigtuna","plot_204","before","TC",2018,0,3,1,19,22,0,7.46666666666667,20.2,34.9421052631579,31.1954545454545,11.1982769623906,381.971863420549,27,2,0.136363636363636,0,0.863636363636364,1.63636363636364,0.0434782608695652,0.139377777777778,0,19.3317197368421,0.340033333333333,17.8412003787878
"sigtuna","plot_205","before","TC",2018,1,0,2,44,45,25.3,0,24.2,29.2545454545455,29.1666666666667,5.79584490663943,42.4413181578388,25.9,3,0,0.0222222222222222,0.977777777777778,0.0888888888888889,0.0425531914893617,0,0.533408333333333,31.3803757575759,0.976066666666667,31.9010416666667
"sigtuna","plot_206","before","TC",2018,1,21,0,28,50,5.4,9.12380952380952,0,33.225,22.546,14.1683494638794,2015.96261249734,12.5,3,0.42,0.02,0.56,3.8,0,1.45676825396825,0.0243,25.75768125,0,21.1800881666667
"sigtuna","plot_210","before","TC",2018,0,8,3,47,55,0,17.825,23.4,31.6446808510638,29.6345454545455,7.85406755155423,169.765272631355,21.3,2,0.145454545454545,0,0.854545454545454,0.290909090909091,0.0517241379310345,2.11820416666667,0,39.220944858156,1.3689,40.2511213636365
"sigtuna","plot_211","before","TC",2018,6,73,0,42,121,21.2666666666667,24.1150684931507,0,28.452380952381,25.4793388429752,9.61173689953566,1633.99074907679,16,3,0.603305785123967,0.0495867768595041,0.347107438016529,1.27272727272727,0,35.3768054794521,2.26135555555556,28.3338293650795,0,65.4606680440771
"soderlejde","plot_23","before","C",2018,1,11,4,58,70,15.1,15.0727272727273,12.375,20.5775862068966,19.6342857142857,5.87746582762209,318.309886183791,12,3,0.157142857142857,0.0142857142857143,0.828571428571429,0.428571428571429,0.0540540540540541,2.08254848484849,0.190008333333333,20.4661242816093,0.51046875,22.4878019047619
"soderlejde","plot_23","after","C",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soderlejde","plot_25","before","URT",2018,8,1,3,66,75,12.45,7.4,10.6333333333333,18.2818181818182,17.5146666666667,5.67309185287627,84.8826363156775,16.25,3,0.0133333333333333,0.106666666666667,0.88,0.106666666666667,0.0384615384615385,0.0456333333333334,1.03335,18.3823681818182,0.282669444444443,19.1727217777778
"soderlejde","plot_25","after","URT",2018,7,1,2,49,57,13.0285714285714,7.1,16.35,19.2244897959184,18.2508771929825,5.31672303770369,84.8826363156775,14.35,3,0.0175438596491228,0.12280701754386,0.859649122807018,0.140350877192982,0.0338983050847458,0.0420083333333333,0.990171428571424,15.091224489796,0.4455375,15.8219896198831
"soderlejde","plot_26","before","C",2018,64,24,1,6,94,13.8640625,17.4791666666667,6.2,17.2,15,7.48327166677181,594.178454209743,4,6,0.25531914893617,0.680851063829787,0.0638297872340425,0.595744680851064,0.0105263157894737,6.11042534722225,10.2513188802083,1.4792,0.0320333333333333,17.625
"soderlejde","plot_26","after","C",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soderlejde","plot_29","before","URT",2018,5,12,2,56,73,16.9,12.075,6.55,18.9410714285714,17.672602739726,5.46148789947424,445.633840657307,9.75,3,0.164383561643836,0.0684931506849315,0.767123287671233,0.575342465753425,0.0266666666666667,1.45805625,1.19004166666667,16.742328720238,0.0715041666666667,18.9995206621004
"soderlejde","plot_29","after","URT",2018,3,11,2,43,57,13.7,14.4818181818182,8.45,19.1883720930233,17.9912280701754,5.96023371730608,424.413181578388,9.55,3,0.192982456140351,0.0526315789473684,0.754385964912281,0.701754385964912,0.0338983050847458,1.92246136363637,0.469225,13.1936048449613,0.119004166666667,15.3750036549707
"sigtuna","plot_301","before","TC",2018,1,3,5,24,28,27.1,7.53333333333333,31.12,37.8541666666667,34.2214285714286,10.5934416169159,381.971863420549,21.05,3,0.107142857142857,0.0357142857142857,0.857142857142857,1.28571428571429,0.151515151515152,0.141877777777778,0.612008333333333,28.6587586805556,4.03522666666667,27.3258107142858
"soderlejde","plot_31","before","C",2018,6,15,7,73,94,10.25,11.4666666666667,9.25714285714286,18.5219178082192,16.868085106383,6.1745786981952,700.28174960434,7.25,4,0.159574468085106,0.0638297872340425,0.776595744680851,0.702127659574468,0.0693069306930693,1.64355555555557,0.5253125,20.869570890411,0.499885714285715,22.2883631205674
"soderlejde","plot_31","after","C",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"halqved","plot_33","before","URT",2019,168,112,22,38,318,9.8922619047619,12.3973214285714,9.00909090909091,13.2973684210526,11.1814465408805,4.76346523609575,1888.63865802382,7.8,4,0.352201257861635,0.528301886792453,0.119496855345912,0.559748427672956,0.0647058823529412,14.3447340029761,13.6999583829365,5.59930021929822,1.48800151515152,33.1315578878407
"halqved","plot_33","after","URT",2019,51,29,17,16,96,12.3294117647059,14.8793103448276,10.2117647058824,15.75,13.6697916666667,4.50672292637208,381.971863420549,12.2,4,0.302083333333333,0.53125,0.166666666666667,0.375,0.150442477876106,5.35035201149426,6.4606117647059,3.3075,1.47730196078433,14.9490563368056
"halqved","plot_36","before","T",2019,31,145,5,12,188,10.7741935483871,12.64,10.4,12.7166666666667,12.3372340425532,4.19843322043218,1230.79822657732,3.65,4,0.771276595744681,0.164893617021277,0.0638297872340425,0.617021276595745,0.0259067357512953,19.3054933333333,2.99881720430108,1.61713611111112,0.450666666666667,23.8458171985816
"halqved","plot_36","after","T",2019,4,67,2,4,75,12.15,14.565671641791,9.7,12.55,14.3293333333333,3.83443760044569,403.192522499468,7.5,4,0.893333333333333,0.0533333333333333,0.0533333333333333,0.506666666666667,0.025974025974026,11.8455324626865,0.492075,0.525008333333333,0.156816666666667,12.8331121111111
"halqved","plot_37","before","T",2019,35,107,1,10,152,10.3685714285714,11.5532710280374,5.8,12.74,11.3585526315789,4.59001859897467,1761.31470355031,4.1,6,0.703947368421053,0.230263157894737,0.0657894736842105,1.09210526315789,0.0065359477124183,11.9017947040499,3.13562880952379,1.35256333333333,0.0280333333333333,16.3421175986841
"halqved","plot_37","after","T",2019,12,42,1,3,57,13.375,13.7880952380952,5.5,21.1,14.0859649122807,5.14314518129614,551.737136051904,12.5,4,0.736842105263158,0.210526315789474,0.0526315789473684,0.912280701754386,0.0172413793103448,6.65390496031742,1.78890625,1.113025,0.0252083333333333,9.42468435672514
"brudgatan","plot_38","before","URT",2018,30,50,4,21,101,15.2433333333333,14.142,11.2,20.3428571428571,15.7584158415842,6.14581593161938,679.06109052542,7.3,4,0.495049504950495,0.297029702970297,0.207920792079208,0.633663366336634,0.0380952380952381,8.3331735,5.80898027777775,7.24205714285711,0.418133333333333,20.9009122112212
"brudgatan","plot_38","after","URT",2018,20,25,1,15,60,16.725,17,15.4,20.8266666666667,17.865,5.67216889734429,466.854499736226,9.6,4,0.416666666666667,0.333333333333333,0.25,0.733333333333333,0.0163934426229508,6.02083333333333,4.66209375,5.42187555555557,0.197633333333333,15.95791125
"brudgatan","plot_39","before","T",2018,28,9,1,57,94,10.9607142857143,17.3888888888889,8.8,19.0035087719298,16.4531914893617,7.59136042786359,275.868568025952,7.9,4,0.0957446808510638,0.297872340425532,0.606382978723404,0.276595744680851,0.0105263157894737,2.26780092592593,2.80320267857144,17.1538339181286,0.0645333333333333,21.2054216312057
"brudgatan","plot_39","after","T",2018,10,4,0,31,45,13.37,17.325,0,21.3903225806452,19.2466666666667,7.0539995102714,84.8826363156775,11.95,4,0.0888888888888889,0.222222222222222,0.688888888888889,0.177777777777778,0,1.00051875,1.48964083333333,11.8199357526882,0,13.8912816666667
"halqved","plot_4","before","C",2019,15,137,18,51,203,12.98,12.178102189781,8.83333333333333,14.8019607843137,12.8965517241379,4.60465089151256,785.164385920017,5.85,4,0.67487684729064,0.0738916256157636,0.251231527093596,0.364532019704433,0.081447963800905,16.9316214111922,2.106005,9.31166683006533,1.17041666666667,28.1359770114941
"halqved","plot_4","after","C",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brudgatan","plot_42","before","URT",2018,8,19,3,48,75,14.4,12.9526315789474,8.56666666666667,19.175,17.0893333333333,6.72696416274435,615.399113288662,8.75,3,0.253333333333333,0.106666666666667,0.64,0.773333333333333,0.0384615384615385,2.65636885964914,1.3824,14.707225,0.183469444444445,18.252832111111
"brudgatan","plot_42","after","URT",2018,3,16,2,37,56,19.8666666666667,11.76875,10.3,20.0459459459459,17.6714285714286,7.21354065845399,530.516476972984,9.25,3,0.285714285714286,0.0535714285714286,0.660714285714286,0.892857142857143,0.0344827586206897,1.84671302083333,0.986711111111114,12.39006509009,0.176816666666667,14.5730380952381
"brudgatan","plot_45","before","C",2018,11,20,2,25,56,22.2090909090909,17.705,6.15,23.048,20.975,7.38177731739697,657.840431446501,9,4,0.357142857142857,0.196428571428571,0.446428571428571,1.10714285714286,0.0344827586206897,5.22445041666667,4.52140075757575,11.0668813333333,0.0630375,20.5310291666667
"brudgatan","plot_45","after","C",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stocksatra","plot_46","before","URT",2018,4,17,1,48,69,20.475,17.8705882352941,13.3,25.1854166666667,23.1101449275362,6.6790749827911,530.516476972984,14.9,3,0.246376811594203,0.0579710144927536,0.695652173913043,0.72463768115942,0.0142857142857143,4.52423725490195,1.39741875,25.3722085069445,0.147408333333333,30.7095309178743
"stocksatra","plot_46","after","URT",2018,3,21,0,29,53,19.7333333333333,19.1428571428571,0,25.8620689655172,22.8528301886792,7.23465494827567,551.737136051904,16.65,3,0.39622641509434,0.0566037735849057,0.547169811320755,0.981132075471698,0,6.41285714285712,0.973511111111108,16.1637931034482,0,23.0661232704402
"stocksatra","plot_49","before","T",2018,1,41,1,33,75,9.1,17.5585365853659,11.6,23.0363636363636,19.856,6.277442240362,657.840431446501,16.35,3,0.546666666666667,0.0133333333333333,0.44,0.826666666666667,0.0131578947368421,10.5336587398375,0.0690083333333333,14.5935363636363,0.112133333333333,24.641296
"stocksatra","plot_49","after","T",2018,0,15,1,19,34,0,20.3933333333333,26.4,24.4157894736842,22.6411764705882,4.93626761510298,275.868568025952,20.65,2,0.441176470588235,0,0.558823529411765,0.764705882352941,0.0285714285714286,5.19860055555554,0,9.43873728070175,0.5808,14.5243147058823
"soderlejde","plot_5","before","URT",2018,21,26,6,30,77,14.6142857142857,16.4538461538462,14.7333333333333,19.77,17.2441558441558,6.22301529355457,509.295817894065,15.2,3,0.337662337662338,0.272727272727273,0.38961038961039,0.623376623376623,0.072289156626506,5.86579615384619,3.73760357142856,9.7713225,1.08535555555555,19.0806584415583
"soderlejde","plot_5","after","URT",2018,13,19,0,19,51,14.3384615384615,17,0,21.8578947368421,18.1313725490196,6.78980088650848,403.192522499468,15.2,3,0.372549019607843,0.254901960784314,0.372549019607843,0.745098039215686,0,4.57583333333333,2.22724102564101,7.56465307017543,0,13.971733496732
"kyrkstigen","plot_50","before","T",2018,4,13,2,38,55,10.375,18.2538461538462,21.15,28.5710526315789,24.8090909090909,8.02044315593025,339.53054526271,13,4,0.236363636363636,0.0727272727272727,0.690909090909091,0.581818181818182,0.0350877192982456,3.6096980769231,0.358802083333333,25.849659868421,0.7455375,28.2100037878788
"kyrkstigen","plot_50","after","T",2018,2,3,0,24,29,13.15,19.8,0,29.9458333333333,27.7379310344828,7.31482905732807,190.985931710274,19.55,4,0.103448275862069,0.0689655172413793,0.827586206896552,0.620689655172414,0,0.9801,0.288204166666667,17.9350586805555,0,18.593659770115
